box_date,box_id,box_name,box_result_numbers,box_results,created_at,updated_at
2019-12-31T00:00:00.000Z,#00377,KẾT QUẢ XỔ SỐ POWER 6/55 - NGÀY: 31/12/2019,"[2,22,26,28,44,55]","[{""prize_name"":""Jackpot 1"",""prize_won"":0,""prize_value_raw"":""105,104,974,350đ"",""prize_value"":1.0510497435e+11},{""prize_name"":""Jackpot 2"",""prize_won"":0,""prize_value_raw"":""3,982,010,050đ"",""prize_value"":3.98201005e+09},{""prize_name"":""Giải nhất"",""prize_won"":14,""prize_value_raw"":""40,000,000đ"",""prize_value"":4e+07},{""prize_name"":""Giải nhì"",""prize_won"":936,""prize_value_raw"":""500,000đ"",""prize_value"":500000.0}]",2020-09-02T11:28:22.761Z,2020-09-02T11:28:22.761Z
2019-12-28T00:00:00.000Z,#00376,KẾT QUẢ XỔ SỐ POWER 6/55 - NGÀY: 28/12/2019,"[10,17,26,28,29,32]","[{""prize_name"":""Jackpot 1"",""prize_won"":0,""prize_value_raw"":""101,245,855,800đ"",""prize_value"":1.012458558e+11},{""prize_name"":""Jackpot 2"",""prize_won"":0,""prize_value_raw"":""3,553,219,100đ"",""prize_value"":3.5532191e+09},{""prize_name"":""Giải nhất"",""prize_won"":14,""prize_value_raw"":""40,000,000đ"",""prize_value"":4e+07},{""prize_name"":""Giải nhì"",""prize_won"":862,""prize_value_raw"":""500,000đ"",""prize_value"":500000.0}]",2020-09-02T11:28:22.761Z,2020-09-02T11:28:22.761Z
2019-12-26T00:00:00.000Z,#00375,KẾT QUẢ XỔ SỐ POWER 6/55 - NGÀY: 26/12/2019,"[5,6,12,18,23,54]","[{""prize_name"":""Jackpot 1"",""prize_won"":0,""prize_value_raw"":""98,509,997,550đ"",""prize_value"":9.850999755e+10},{""prize_name"":""Jackpot 2"",""prize_won"":0,""prize_value_raw"":""3,249,234,850đ"",""prize_value"":3.24923485e+09},{""prize_name"":""Giải nhất"",""prize_won"":16,""prize_value_raw"":""40,000,000đ"",""prize_value"":4e+07},{""prize_name"":""Giải nhì"",""prize_won"":1127,""prize_value_raw"":""500,000đ"",""prize_value"":500000.0}]",2020-09-02T11:28:22.761Z,2020-09-02T11:28:22.761Z
2019-12-24T00:00:00.000Z,#00374,KẾT QUẢ XỔ SỐ POWER 6/55 - NGÀY: 24/12/2019,"[3,16,30,34,50,55]","[{""prize_name"":""Jackpot 1"",""prize_won"":0,""prize_value_raw"":""96,266,883,900đ"",""prize_value"":9.62668839e+10},{""prize_name"":""Jackpot 2"",""prize_won"":2,""prize_value_raw"":""2,050,285,925đ"",""prize_value"":2.050285925e+09},{""prize_name"":""Giải nhất"",""prize_won"":18,""prize_value_raw"":""40,000,000đ"",""prize_value"":4e+07},{""prize_name"":""Giải nhì"",""prize_won"":793,""prize_value_raw"":""500,000đ"",""prize_value"":500000.0}]",2020-09-02T11:28:22.761Z,2020-09-02T11:28:22.761Z
2019-12-21T00:00:00.000Z,#00373,KẾT QUẢ XỔ SỐ POWER 6/55 - NGÀY: 21/12/2019,"[5,8,20,34,37,42]","[{""prize_name"":""Jackpot 1"",""prize_won"":0,""prize_value_raw"":""93,381,149,550đ"",""prize_value"":9.338114955e+10},{""prize_name"":""Jackpot 2"",""prize_won"":0,""prize_value_raw"":""3,779,934,700đ"",""prize_value"":3.7799347e+09},{""prize_name"":""Giải nhất"",""prize_won"":16,""prize_value_raw"":""40,000,000đ"",""prize_value"":4e+07},{""prize_name"":""Giải nhì"",""prize_won"":742,""prize_value_raw"":""500,000đ"",""prize_value"":500000.0}]",2020-09-02T11:28:22.761Z,2020-09-02T11:28:22.761Z
2019-12-19T00:00:00.000Z,#00372,KẾT QUẢ XỔ SỐ POWER 6/55 - NGÀY: 19/12/2019,"[18,22,25,28,29,34]","[{""prize_name"":""Jackpot 1"",""prize_won"":0,""prize_value_raw"":""91,007,696,550đ"",""prize_value"":9.100769655e+10},{""prize_name"":""Jackpot 2"",""prize_won"":0,""prize_value_raw"":""3,516,217,700đ"",""prize_value"":3.5162177e+09},{""prize_name"":""Giải nhất"",""prize_won"":14,""prize_value_raw"":""40,000,000đ"",""prize_value"":4e+07},{""prize_name"":""Giải nhì"",""prize_won"":751,""prize_value_raw"":""500,000đ"",""prize_value"":500000.0}]",2020-09-02T11:28:22.761Z,2020-09-02T11:28:22.761Z
2019-12-17T00:00:00.000Z,#00371,KẾT QUẢ XỔ SỐ POWER 6/55 - NGÀY: 17/12/2019,"[4,5,14,19,22,37]","[{""prize_name"":""Jackpot 1"",""prize_won"":0,""prize_value_raw"":""88,681,195,200đ"",""prize_value"":8.86811952e+10},{""prize_name"":""Jackpot 2"",""prize_won"":0,""prize_value_raw"":""3,257,717,550đ"",""prize_value"":3.25771755e+09},{""prize_name"":""Giải nhất"",""prize_won"":17,""prize_value_raw"":""40,000,000đ"",""prize_value"":4e+07},{""prize_name"":""Giải nhì"",""prize_won"":886,""prize_value_raw"":""500,000đ"",""prize_value"":500000.0}]",2020-09-02T11:28:22.761Z,2020-09-02T11:28:22.761Z
2019-12-14T00:00:00.000Z,#00370,KẾT QUẢ XỔ SỐ POWER 6/55 - NGÀY: 14/12/2019,"[3,30,33,34,40,47]","[{""prize_name"":""Jackpot 1"",""prize_won"":0,""prize_value_raw"":""86,361,737,250đ"",""prize_value"":8.636173725e+10},{""prize_name"":""Jackpot 2"",""prize_won"":1,""prize_value_raw"":""4,724,065,750đ"",""prize_value"":4.72406575e+09},{""prize_name"":""Giải nhất"",""prize_won"":10,""prize_value_raw"":""40,000,000đ"",""prize_value"":4e+07},{""prize_name"":""Giải nhì"",""prize_won"":663,""prize_value_raw"":""500,000đ"",""prize_value"":500000.0}]",2020-09-02T11:28:22.761Z,2020-09-02T11:28:22.761Z
2019-12-12T00:00:00.000Z,#00369,KẾT QUẢ XỔ SỐ POWER 6/55 - NGÀY: 12/12/2019,"[1,9,15,42,49,50]","[{""prize_name"":""Jackpot 1"",""prize_won"":0,""prize_value_raw"":""83,862,112,800đ"",""prize_value"":8.38621128e+10},{""prize_name"":""Jackpot 2"",""prize_won"":0,""prize_value_raw"":""4,446,329,700đ"",""prize_value"":4.4463297e+09},{""prize_name"":""Giải nhất"",""prize_won"":6,""prize_value_raw"":""40,000,000đ"",""prize_value"":4e+07},{""prize_name"":""Giải nhì"",""prize_won"":591,""prize_value_raw"":""500,000đ"",""prize_value"":500000.0}]",2020-09-02T11:28:22.761Z,2020-09-02T11:28:22.761Z
2019-12-10T00:00:00.000Z,#00368,KẾT QUẢ XỔ SỐ POWER 6/55 - NGÀY: 10/12/2019,"[5,20,33,42,43,49]","[{""prize_name"":""Jackpot 1"",""prize_won"":0,""prize_value_raw"":""81,294,373,650đ"",""prize_value"":8.129437365e+10},{""prize_name"":""Jackpot 2"",""prize_won"":0,""prize_value_raw"":""4,161,025,350đ"",""prize_value"":4.16102535e+09},{""prize_name"":""Giải nhất"",""prize_won"":11,""prize_value_raw"":""40,000,000đ"",""prize_value"":4e+07},{""prize_name"":""Giải nhì"",""prize_won"":773,""prize_value_raw"":""500,000đ"",""prize_value"":500000.0}]",2020-09-02T11:28:22.761Z,2020-09-02T11:28:22.761Z
2020-01-02T00:00:00.000Z,#00378,KẾT QUẢ XỔ SỐ POWER 6/55 - NGÀY: 02/01/2020,"[12,14,26,29,33,40]","[{""prize_name"":""Jackpot 1"",""prize_won"":0,""prize_value_raw"":""108,639,141,150đ"",""prize_value"":1.0863914115e+11},{""prize_name"":""Jackpot 2"",""prize_won"":0,""prize_value_raw"":""4,374,695,250đ"",""prize_value"":4.37469525e+09},{""prize_name"":""Giải nhất"",""prize_won"":9,""prize_value_raw"":""40,000,000đ"",""prize_value"":4e+07},{""prize_name"":""Giải nhì"",""prize_won"":920,""prize_value_raw"":""500,000đ"",""prize_value"":500000.0}]",2020-09-02T11:28:45.789Z,2020-09-02T11:28:45.789Z
2020-01-04T00:00:00.000Z,#00379,KẾT QUẢ XỔ SỐ POWER 6/55 - NGÀY: 04/01/2020,"[4,14,26,42,44,55]","[{""prize_name"":""Jackpot 1"",""prize_won"":1,""prize_value_raw"":""111,099,202,950đ"",""prize_value"":1.1109920295e+11},{""prize_name"":""Jackpot 2"",""prize_won"":0,""prize_value_raw"":""4,648,035,450đ"",""prize_value"":4.64803545e+09},{""prize_name"":""Giải nhất"",""prize_won"":41,""prize_value_raw"":""40,000,000đ"",""prize_value"":4e+07},{""prize_name"":""Giải nhì"",""prize_won"":1097,""prize_value_raw"":""500,000đ"",""prize_value"":500000.0}]",2020-09-02T11:29:31.520Z,2020-09-02T11:29:31.520Z
2020-01-07T00:00:00.000Z,#00380,KẾT QUẢ XỔ SỐ POWER 6/55 - NGÀY: 07/01/2020,"[8,11,16,22,42,54]","[{""prize_name"":""Jackpot 1"",""prize_won"":0,""prize_value_raw"":""31,673,873,550đ"",""prize_value"":3.167387355e+10},{""prize_name"":""Jackpot 2"",""prize_won"":0,""prize_value_raw"":""4,834,021,400đ"",""prize_value"":4.8340214e+09},{""prize_name"":""Giải nhất"",""prize_won"":7,""prize_value_raw"":""40,000,000đ"",""prize_value"":4e+07},{""prize_name"":""Giải nhì"",""prize_won"":502,""prize_value_raw"":""500,000đ"",""prize_value"":500000.0}]",2020-09-02T11:30:37.582Z,2020-09-02T11:30:37.582Z